Date,Bridgewater,AQR,MAN,Winton,Gresham
1/31/2018,0.054713741,0.034421507,0.036033333,0.0465,0.0096
2/28/2018,0.023911794,-0.038229464,-0.041566667,-0.0618,-0.045
3/31/2018,-0.019482683,-0.004096693,0.011633333,-0.002,0.0334
4/30/2018,-0.008497987,-0.017703098,0.013933333,0.018,0.0065
5/31/2018,0.005432062,-0.046740832,-0.003866667,-0.0065,0.0057
6/30/2018,0.023660416,-0.035082367,-0.020766667,0.0205,0.0062
7/31/2018,-0.014359716,0.00925768,0.012333333,0.0022,-0.0317
8/31/2018,-0.028353682,-0.005082402,-0.003066667,0.0129,0.0338
9/30/2018,0.014666148,0.004422164,0.008433333,-0.0019,0.0056
10/31/2018,0.061621743,-0.008716012,-0.027866667,-0.0191,-0.0226
11/30/2018,-0.010933376,-0.007431798,-0.007066667,0.0269,-0.0438
12/31/2018,0.092212269,-0.008958515,-0.001166667,-0.03,0.0521
1/31/2019,-0.043,0.01570684,0.009933333,-0.0129,-0.0267
2/28/2019,-0.002,0.00796857,0.011235333,0.009,0.0461
3/31/2019,-0.00652156,0.0018,0.0007,0.0184,-0.0278
